,lambda,kappa,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,EV Model,Missing Type
count,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,,,2,,,,,,,,,,1,1
top,,,OU1,,,,,,,,,,simulations,phyloNa
freq,,,53,,,,,,,,,,100,100
mean,0.5152341072401032,0.5360208793985657,,0.6927430388877268,0.7249175145784754,0.7544462945011735,1.1023726530252687,1.0424803785633683,0.8863377234361259,0.7324549508914049,0.7251171734187487,0.7060641897795121,,
std,0.25696148146602754,0.2884302584786332,,0.19888489323795655,0.21389536471479315,0.2940106103296034,1.6112484864286671,1.7594983962443083,0.8547156509677454,0.2583092635199324,0.1991638628385437,0.17176774894085503,,
min,0.0034050941467285,0.0157201017718762,,0.2739394665218092,0.22081744462790928,0.3651689182602032,0.36181022532375423,0.33657593474442915,0.3818541887671286,0.2361382838367581,0.3357584118367581,0.29727260344954,,
25%,0.3011042964644735,0.32333793287398277,,0.5358130862145217,0.5671250320955654,0.5716936170419009,0.6136470473895776,0.6220040399420301,0.6197981761069867,0.5475424446295573,0.5915345505199467,0.5767282592295001,,
50%,0.5421510797459634,0.5349884129827844,,0.6835942325517692,0.7131706363831258,0.695533620787784,0.7579286956796621,0.768941945823324,0.7200832603678179,0.7217718376553208,0.711715198277949,0.6911840838024543,,
75%,0.7178868756745944,0.765899818681646,,0.8285303560189196,0.8573261046878062,0.855948134503852,0.8916206975319019,0.8915771725244696,0.8650372140963402,0.8408340440458747,0.8485107807975254,0.8255359033884544,,
max,0.969793748343363,0.998171331360936,,1.1491737397586088,1.2971867340364462,2.525099047559255,11.377515936461206,15.057182256476107,6.54619723819354,2.26082953154152,1.4413181762331395,1.1172357992442241,,
