,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,1,1
top,real_data,,,,,,,,,,real_data,mcar
freq,100,,,,,,,,,,100,100
mean,,0.4567686327174212,0.458204628932334,0.5262159901975232,0.5075168899632668,0.5535874692333972,0.5927008037383823,0.4666379171694946,0.4831024008137049,0.4937056055474825,,
std,,0.27176640341913455,0.28535067370294737,0.27524844718323505,0.2796501215058377,0.2721829828406767,0.28726244673723056,0.28628659241441734,0.29313778048689887,0.28925358379153154,,
min,,0.0294791224659054,0.031642988631194205,0.10821771045250847,0.03397298847635438,0.12579454469294563,0.17045033882178723,0.04434623381004581,0.056946547568938834,0.030561098511073203,,
25%,,0.2499041524241518,0.23637296534304997,0.35781808923539826,0.2992607369602865,0.34915429772652584,0.399027170529885,0.2572518790599097,0.2856628019800819,0.2814624567603398,,
50%,,0.3886039410904,0.396892361149753,0.44215110633645854,0.4315156451817767,0.478147724226474,0.5090378784871519,0.3890271888719147,0.40804925506000184,0.39799849393585507,,
75%,,0.59210140941965,0.5892718555765213,0.6443509029046282,0.7026777423642214,0.7243801648279872,0.7557233200295642,0.6208363470276237,0.6234330482439846,0.6679387771428539,,
max,,1.350874973203339,1.350874973203338,1.8474453557971262,1.7782550039100584,1.7424585660082665,1.7754409618337506,1.4818889263801842,1.7580058183101837,1.6588469098801837,,
