,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1100.0,1100,1100,1100,1100,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
unique,,6,1,2,1,,,,,,,,,,,,,
top,,ER,phyloNa,ultrametric,binary,,,,,,,,,,,,,
freq,,200,1100,600,1100,,,,,,,,,,,,,
mean,190.9090909090909,,,,,0.12626089976047453,0.14223153704918656,0.15534836667485938,0.15684717131429055,0.1606074960722166,0.16936480250362498,0.15799561709513718,0.15924566803554688,0.14895535005882066,0.15267731947253277,0.19085269062738694,0.15040866563788377,0.14686358848455938
std,115.16254647316032,,,,,0.09672296681631229,0.11509871980942421,0.11060634650298802,0.10607174320073322,0.115235059243704,0.12940703897634914,0.11052655412512707,0.11261298150309179,0.11929491872949764,0.11660014724146606,0.15049880139311395,0.12202635958626257,0.1162151458315179
min,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,91.0,,,,,0.030213946094900822,0.030174028589686777,0.07248103790880375,0.07170321817251937,0.06655047619523215,0.06842105328679918,0.0710288783639917,0.06985590281542914,0.040592049257002126,0.0511920363249799,0.06326590703305067,0.03876172580116903,0.046399244903263706
50%,183.0,,,,,0.11907508593359385,0.13433207692717913,0.1622214812132141,0.16919427555565505,0.16943377902617446,0.17179782062087356,0.16622066290229803,0.16507379930859306,0.1445824765661842,0.15760574881549516,0.18567167037468046,0.14699441157268012,0.14054005145856285
75%,289.5,,,,,0.20183327950833685,0.22605403641131588,0.23206597682730915,0.24070969685121682,0.24449091589766045,0.24789385799899508,0.24225220856467067,0.24277085335120574,0.2303714948459028,0.23877993066362074,0.29223633145549516,0.23262846895391046,0.22633854701190984
max,399.0,,,,,0.447214775142278,0.6541138080619356,0.6223456790123457,0.5999924646771604,0.7703138554588769,0.8031822672295884,0.7980373816621219,0.933671781748092,0.6673288378080401,0.7872545988707584,0.7934080848207681,0.8843692413460056,0.7396554158669479
