,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,1,1
top,EB,,,,,,,,,,EB,mcar
freq,100,,,,,,,,,,100,100
mean,,0.3811738127334749,0.3869644414039731,0.6628040964995584,0.5155698805466996,0.5467828359854052,0.5415066734889153,0.4396498676902244,0.5202449139788825,0.4655470889063204,,
std,,0.2180891475627653,0.21973788228041785,0.19708283363953125,0.24687471398665783,0.2519011747459805,0.25137632333278603,0.24244952741497516,0.24893224316542817,0.24157616643281327,,
min,,0.004553346619070009,0.007486033748216397,0.18639787002943106,0.011442814649043537,0.02721533117865038,0.010065522831878315,0.009171258771928315,0.013716860820632115,0.0068827727390267214,,
25%,,0.2092764927125638,0.21205981088271325,0.5182148957121943,0.315421921510661,0.36002058646517937,0.3544373410991404,0.2449390981689352,0.33295897382762907,0.27495729141086855,,
50%,,0.3907314699696992,0.3876171510405422,0.6542707577210328,0.5238836888928522,0.554016489932696,0.5641316215833747,0.4499947132328369,0.5472697993817932,0.4807641966660838,,
75%,,0.5268072480302298,0.5471938736130715,0.7993028724013668,0.6841804548498445,0.7316344024006364,0.7277256567412812,0.6006656893063204,0.6673780785695345,0.6685039776311689,,
max,,0.8600839476448758,0.851531084024914,1.1667582345663152,1.0398176646032524,1.0409438735811651,1.0172647150750047,0.98670124728022,1.0269386779285452,1.0332437304315352,,
