,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unique,1,,,,,,,,,
top,BMT,,,,,,,,,
freq,100,,,,,,,,,
mean,,0.37176713322791377,0.3705334694680268,0.6440794095209819,0.5432067687807652,0.5722349523610563,0.5839760219774577,0.43333485252573184,0.5243673281107207,0.459937132418601
std,,0.14378139191972814,0.14313642002112428,0.19518972342268331,0.18395031437709736,0.18571320033502117,0.1888547560860621,0.16664653209243455,0.1833767504990296,0.17025074850073058
min,,0.14467594807193898,0.14552066215295087,0.20394873629161187,0.22872828099913764,0.26567187611857823,0.25360521314835643,0.16356243876885013,0.25720765094063575,0.17664439196461934
25%,,0.2842903165757389,0.28010099279901907,0.5101608272475641,0.4202452848764967,0.4305864260161091,0.4474714828494905,0.31121914370688736,0.40299027122316516,0.3665927145828666
50%,,0.3554953820255955,0.34928218036638214,0.6293930190070006,0.5182446143418815,0.5402376539097247,0.5581957922907721,0.42009399915295836,0.49079098527103776,0.42577906233855006
75%,,0.4471847212425482,0.44245653147138414,0.798560299037749,0.6633861027987076,0.7061414371730117,0.681950755317664,0.5148260397696512,0.6210135696432524,0.533671289909938
max,,1.0031043997562656,1.019484330748805,1.238654295637129,1.1003030768898872,1.0918441075468126,1.1237502795671566,1.0586239118928384,1.0901906931194363,1.2647177187614154
