,lambda,kappa,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,100.0,100.0,300,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unique,,,4,,,,,,,,,
top,,,EB,,,,,,,,,
freq,,,100,,,,,,,,,
mean,0.5152341072401032,0.5360208793985657,,0.4726460448215089,0.49166545547041324,0.6834247385298055,0.5952509407867576,0.6238375055611065,0.6194427800036423,0.5221225894015487,0.5916147366923078,0.5354786215871328
std,0.25696148146602754,0.28843025847863313,,0.2213494139912976,0.24755744614703284,0.21207547354220574,0.20179256102103219,0.20277188180718353,0.2019358917242017,0.21334905367306276,0.2051217765349669,0.21296030520714904
min,0.0034050941467285,0.0157201017718762,,0.0977375247796167,0.10013388347489612,0.16918970598871863,0.22872828099913764,0.22000677338930047,0.19921475122517668,0.11206517279157253,0.19316749701175862,0.16794051342999752
25%,0.3011042964644735,0.32333793287398277,,0.3104032438504415,0.3166305794013475,0.5258285562711045,0.443664974968326,0.4776695466592672,0.4711981441714068,0.3688547598408118,0.4368684439522695,0.389394747263338
50%,0.5421510797459634,0.5349884129827844,,0.4218222990409657,0.4293011439370041,0.6737243798495705,0.5675736631674263,0.6003068550539479,0.5971302068410143,0.48314444100807363,0.5635204028146505,0.4992033482428535
75%,0.7178868756745944,0.765899818681646,,0.5872992831515386,0.594982435974426,0.8301539613462953,0.7070552309545652,0.7613940706139384,0.73112961692627,0.6322049959014431,0.7131010155120047,0.6544564147260983
max,0.969793748343363,0.998171331360936,,1.310892734002992,1.3215927550516615,1.3076090830084814,1.2163799809762907,1.282384107614834,1.201540985772014,1.2826819179468787,1.3477508428468787,1.2647177187614154
