,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,1,1
top,real_data,,,,,,,,,,real_data,phyloNa
freq,100,,,,,,,,,,100,100
mean,,0.4645572522535648,0.439171136919799,0.47890921354333016,0.6462744356607917,0.7761165759366597,0.6381384318518966,0.5105858071622448,0.5791944166627261,0.537834070481868,,
std,,0.43663062297025435,0.4156800112322924,0.31607485258687923,0.8918757255371634,1.4206090515462493,0.5210007321281478,0.5473751049465865,0.6609702582312356,0.5186259194936954,,
min,,0.012888909721437303,0.019079508860255924,0.015186947955190312,0.014318415178628701,0.10145688722499761,0.06151724656131182,0.010976949025232201,0.0009483916208937015,0.0043215857685830975,,
25%,,0.08583665935142501,0.06702907134917441,0.29113889553629874,0.1358361991128597,0.26283411416194064,0.21351800600054077,0.16263003411734428,0.18677136849463388,0.19954706538842748,,
50%,,0.3470936150731697,0.32742841088805824,0.41708327104700427,0.3899156599664955,0.5076413873663419,0.5496391213230447,0.34154247516258307,0.41495059885705177,0.3924919768800079,,
75%,,0.7525429335494862,0.7199443255602211,0.6632956383553088,0.7595426672873156,0.8529516551934657,0.8831824916158473,0.7115521305440584,0.772179436043005,0.7270174766529491,,
max,,1.9855980576681724,1.4843967183174562,1.3851176776384633,6.8294395341049015,13.428960166179442,2.566796949444618,3.23204653905321,4.2415370690532095,3.526799275479456,,
