,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unique,1,,,,,,,,,
top,BMT,,,,,,,,,
freq,100,,,,,,,,,
mean,,0.5004021531783457,0.5002524976912723,0.7712076668314357,1.255227848080049,0.6406729639143776,0.682458118877003,0.5545308766924824,0.5762225513075103,0.5976209946017189
std,,0.26992550993573133,0.2701991663958652,0.3596192253149577,4.739518514793072,0.38711734475145637,0.43865901083872355,0.2913366858109274,0.2523328334644703,0.32917991155635123
min,,0.13072924136423308,0.13072565521027427,0.23683316620390854,0.1928187198254574,0.23672789353936824,0.22884388341466644,0.16243104583335272,0.23303956399672643,0.12070385833163373
25%,,0.3374108334810699,0.33547297516684504,0.5071770854853007,0.4090288372217878,0.4572893147881255,0.43935757827766025,0.37652065205790375,0.39525743208146785,0.39828280711879266
50%,,0.4180280374173997,0.42150789100005154,0.6696396563763194,0.5277018318016417,0.5726019226281263,0.599842114356935,0.48142079314974184,0.5236144005291918,0.5123631859866622
75%,,0.5811504566235064,0.5796808570508366,0.931314525684507,0.6931955688785945,0.678951091387678,0.7389627373843225,0.6516179941502542,0.6731289380890044,0.6675281934601675
max,,1.5598567227900724,1.5599495767966531,1.9961369099882844,44.66641729461514,3.2732247936117944,3.587013908845287,1.912427210632235,1.4649237556322352,1.9951850381446963
