,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,1,1
top,Extinct_BMT,,,,,,,,,,Extinct_BMT,mcar
freq,100,,,,,,,,,,100,100
mean,,0.3621815571597892,0.36127619259699045,0.7119538640933379,0.5222224319903721,0.535187990950078,0.5059400277002128,0.42266954073427276,0.4843862278740296,0.43566945454038764,,
std,,0.11058304832575422,0.11098918226736133,0.17392516989310883,0.14875840808286858,0.15854097262952538,0.14042740353675406,0.1170005954285164,0.1472457555520838,0.1296259220605322,,
min,,0.12029806867399352,0.12072509799124011,0.3165304507356556,0.21727773365515848,0.24056636113170957,0.20051159568044247,0.20671337847169527,0.21199233738958817,0.14245925534393442,,
25%,,0.2900479773317851,0.2883736608460059,0.5948086855664553,0.42233931754097015,0.4259772026623244,0.41159939432045023,0.3374547185646371,0.3751706878287186,0.3400852998486606,,
50%,,0.3594884666359568,0.3591681692049168,0.7104241235245586,0.505281385653265,0.5136585554120099,0.49572344599363305,0.40772400817579035,0.4587641812386186,0.4153086479246326,,
75%,,0.4220639602737981,0.42517892881134967,0.8222140070661018,0.6050485497417908,0.6120589168609658,0.5856045441728805,0.506197596717384,0.5868945830515799,0.5171540836534653,,
max,,0.6499200724676718,0.6499200724676726,1.1275046477874415,0.9766612464145297,1.0066924102865404,0.9294660275217626,0.7187321839982391,0.8197167252110142,0.7644742986951351,,
