,lambda,kappa,Ev Model,phylopars,picante,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,EV Model,Missing Type
count,200.0,200.0,800,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800,800
unique,,,5,,,,,,,,,,4,2
top,,,Extinct_BMT,,,,,,,,,,simulations,mcar
freq,,,200,,,,,,,,,,200,400
mean,0.5152341072401032,0.5360208793985657,,0.47657426871348235,0.48754433536801,0.7201743175612323,0.8074259493160494,0.6589051882897741,0.6598352584768857,0.5306771576443685,0.5768354187087923,0.538814101021175,,
std,0.2563150364633913,0.287704646615957,,0.22290652570248135,0.23848741082348082,0.26015931479266335,2.48651061088993,0.6782688690097888,0.680733720774042,0.23513507021339033,0.21666710217117338,0.22627590552462967,,
min,0.0034050941467285,0.0157201017718762,,0.0977375247796167,0.10013388347489612,0.16918970598871863,0.154026611325517,0.22000677338930047,0.19921475122517668,0.11206517279157253,0.15457776965142328,0.12070385833163373,,
25%,0.3011042964644735,0.32333793287398277,,0.319356725320553,0.3235304960355498,0.5403966489537888,0.43826385034928594,0.4507414940622493,0.4607866719166141,0.36971496219548505,0.4144952947858978,0.38464785863668527,,
50%,0.5421510797459634,0.5349884129827844,,0.4207006505947452,0.4242958188162063,0.6937476216303979,0.5594520221845983,0.5873317819086115,0.5843816132957851,0.48301450616868213,0.5467700711577346,0.5048953584622762,,
75%,0.7178868756745944,0.765899818681646,,0.5872992831515386,0.596686257424974,0.8600756297488332,0.7070552309545652,0.7459609744922295,0.7231554247856774,0.6373779167222324,0.6992019994078711,0.6521428195928911,,
max,0.969793748343363,0.998171331360936,,1.5598567227900724,1.5599495767966531,2.525099047559255,48.063461812855664,15.057182256476107,15.716153159893233,2.26082953154152,1.4649237556322352,1.9951850381446963,,
